Symbol,Annual Spread
AAPL,0.04
MSFT,0.45
AMZN,0.06
NVDA,0.02
GOOGL,0.23
GOOG,0.02
TSLA,0.02
META,0.04
UNH,1.5
XOM,0.27
JNJ,0.1
JPM,0.2
V,0.54
PG,0.16
MA,0.76
CVX,0.18
HD,2.61
LLY,1.15
ABBV,0.25
MRK,0.85
AVGO,1.39
PEP,0.79
KO,0.01
PFE,0.04
TMO,6.78
COST,0.67
WMT,0.1
CSCO,0.03
MCD,1.05
BAC,0.03
CRM,0.19
ABT,0.24
DIS,0.09
ACN,0.9
LIN,8.9
ADBE,0.86
VZ,0.17
DHR,1.33
TXN,1.22
CMCSA,0.23
NEE,0.37
PM,2.02
NFLX,0.89
BMY,0.04
NKE,0.17
AMD,0.1
ORCL,0.17
WFC,0.0
RTX,0.45
T,0.04
UPS,2.45
QCOM,0.4
INTC,0.03
AMGN,2.01
COP,1.77
HON,0.16
INTU,1.44
UNP,1.35
SBUX,0.27
LOW,0.12
BA,0.29
IBM,0.15
ELV,2.91
PLD,0.05
SPGI,9.05
LMT,0.59
MS,0.04
GS,0.03
CAT,0.42
MDT,0.93
GILD,0.34
GE,0.36
BKNG,46.86
DE,0.15
CVS,0.28
BLK,13.7
SYK,2.46
MDLZ,0.39
AMAT,1.07
AMT,0.94
NOW,0.74
ADI,0.16
AXP,0.65
TJX,0.47
ISRG,3.49
ADP,1.28
REGN,9.72
C,0.21
TMUS,2.44
PGR,0.01
PYPL,0.08
MMC,0.28
VRTX,4.2
CB,0.52
MO,0.07
CI,0.71
ZTS,1.47
SO,0.43
DUK,1.12
TGT,0.28
SCHW,0.4
BDX,34.56
FISV,1.63
BSX,0.8
SLB,0.12
CME,0.32
EOG,0.52
NOC,1.21
LRCX,0.63
AON,0.89
EQIX,29.35
HUM,5.79
MU,0.19
ITW,1.42
CL,1.21
CSX,0.28
APD,7.77
ETN,2.51
WM,1.09
ATVI,0.29
ICE,0.92
MPC,0.6
CCI,3.23
FCX,0.22
SNPS,0.67
HCA,5.43
CDNS,5.8
MMM,0.1
EL,1.4
FDX,0.1
ORLY,34.58
SHW,0.87
MRNA,0.72
KLAC,0.86
EW,0.36
GIS,1.95
GD,0.15
VLO,0.2
MCK,4.2
USB,0.07
PXD,4.61
PSA,10.51
PNC,0.58
SRE,5.7
AEP,0.31
F,0.01
D,0.55
GM,0.09
PSX,1.34
EMR,0.62
DG,0.67
AZO,1.44
MSI,7.33
MCO,9.1
NSC,0.73
CMG,21.79
ROP,6.06
APH,0.02
KMB,2.68
OXY,0.12
NXPI,0.94
MAR,1.28
DXCM,2.25
TFC,0.11
ADM,0.01
MCHP,0.14
EXC,0.26
CTVA,0.96
ADSK,1.97
MSCI,0.28
FTNT,0.43
AJG,7.82
ECL,5.35
BIIB,8.99
NEM,0.06
A,0.28
PH,9.03
MNST,0.01
TRV,0.04
ANET,0.03
TEL,0.04
TT,7.3
O,0.27
SYY,0.01
IDXX,2.1
HES,0.79
CTAS,2.22
XEL,0.64
MET,0.13
DOW,0.05
JCI,0.47
HSY,1.08
AIG,0.01
TDG,26.27
LHX,0.87
HLT,1.22
YUM,0.52
ROST,0.85
CHTR,1.77
NUE,2.09
AFL,0.01
STZ,0.23
CNC,0.7
IQV,9.56
COF,2.14
ILMN,2.51
WMB,0.55
SPG,0.98
PCAR,0.76
ED,0.42
CARR,1.94
KMI,0.09
PAYX,0.33
DVN,0.02
WELL,1.85
WBD,0.04
MTD,380.21
EA,0.55
FIS,0.71
BK,0.56
OTIS,3.22
ON,0.13
RMD,7.25
VICI,0.01
PPG,4.94
DD,0.75
CPRT,1.18
AMP,26.74
KR,0.08
PEG,0.14
DLTR,0.02
CMI,5.2
ROK,2.94
CTSH,0.78
WEC,3.61
AME,1.13
KHC,0.02
PRU,0.6
ALL,5.9
KDP,0.47
DHI,0.96
VRSK,3.72
HAL,0.19
ODFL,1.86
FAST,0.01
OKE,0.65
AWK,7.17
GEHC,0.5
GWW,217.56
BKR,0.4
ES,3.92
ANSS,8.36
SBAC,6.34
KEYS,2.8
APTV,2.36
CSGP,2.9
RSG,0.78
EIX,0.45
GPN,5.0
ZBH,0.02
ABC,0.06
PCG,0.11
ULTA,0.49
STT,3.33
TSCO,12.35
DLR,0.24
ENPH,0.34
GLW,0.3
DFS,2.28
LEN,0.79
FANG,0.55
WBA,0.26
WTW,0.19
WST,0.01
ACGL,1.28
HPQ,0.25
CEG,2.12
CDW,1.26
IT,1.81
URI,0.6
TROW,4.09
EFX,100.23
LYB,0.67
EBAY,0.39
AVB,3.8
ALGN,4.0
IFF,0.92
AEE,0.11
GPC,1.1
ALB,1.0
PWR,7.05
FTV,0.05
ETR,1.07
FE,0.48
HIG,0.01
CBRE,2.08
PODD,14.34
CHD,3.92
DTE,1.58
WY,1.22
IR,1.9
VMC,6.14
EXR,5.85
DAL,0.41
MKC,0.02
BAX,1.6
MPWR,38.32
MLM,1.04
PPL,0.24
CAH,1.65
HOLX,0.12
LH,65.38
EQR,0.91
HPE,0.54
TDY,260.39
FSLR,0.8
MTB,0.01
DOV,2.56
VRSN,2.79
CTRA,0.4
ARE,0.29
CLX,0.54
CNP,0.81
STE,7.04
OMC,0.82
TTWO,1.48
LUV,0.04
LVS,0.19
NDAQ,0.38
COO,0.6
DRI,2.4
CAG,0.15
INVH,0.6
CMS,2.48
NTRS,0.01
XYL,0.0
FITB,0.17
WAT,0.34
SWKS,0.88
CINF,0.05
WAB,2.7
K,0.48
MAA,6.31
TSN,0.51
RJF,0.05
RF,0.2
STLD,4.29
VTR,0.01
FICO,17.9
PKI,0.11
AMCR,0.15
TRGP,0.68
EXPD,27.43
SJM,2.35
PFG,5.35
BR,0.69
ATO,3.42
MOH,6.65
BALL,40.49
NVR,198.16
EPAM,3.91
AES,0.58
DGX,4.81
IEX,259.46
MRO,0.11
HBAN,0.06
SEDG,1.33
TER,0.83
FDS,13.55
ZBRA,2.07
FLT,1.46
HWM,3.02
LW,3.8
IRM,0.5
BBY,0.01
GRMN,0.93
MOS,0.15
TYL,6.99
FMC,0.9
EVRG,1.34
J,0.86
AVY,4.1
IPG,0.6
CBOE,0.79
TXT,0.09
RE,15.65
CFG,0.26
JBHT,4.36
PAYC,6.3
INCY,0.87
CF,1.16
UAL,0.15
BRO,0.1
BG,2.22
LNT,1.23
LKQ,1.31
MGM,0.01
NTAP,0.4
EXPE,0.47
ESS,5.06
RCL,0.17
PTC,1.0
PHM,0.01
PKG,2.43
ETSY,1.9
IP,0.31
MKTX,0.97
WRB,0.01
POOL,230.28
SYF,0.71
STX,3.04
AKAM,0.33
UDR,1.37
LDOS,5.29
APA,0.43
TFX,6.82
SNA,123.0
TRMB,1.95
VTRS,0.05
TECH,1.33
DPZ,6.58
PEAK,1.18
CTLT,0.01
EQT,0.14
KIM,0.46
HRL,0.15
NI,0.01
CPT,3.4
HST,0.55
HSIC,0.73
WYNN,0.18
NDSN,6.39
WDC,0.05
CPB,0.03
KEY,0.08
L,1.44
BWA,0.01
SWK,2.1
CHRW,0.8
PARA,0.11
JKHY,0.19
JNPR,0.67
MAS,1.7
CDAY,1.54
CE,11.03
KMX,0.81
FOXA,0.59
CRL,1.49
MTCH,1.06
GEN,0.02
BIO,14.07
LYV,1.01
CCL,0.02
TAP,0.26
QRVO,4.57
GL,2.15
EMN,0.53
TPR,2.29
CZR,0.0
REG,47.97
AAL,0.01
PNW,1.67
ROL,2.22
ALLE,1.96
FFIV,2.66
PNR,0.38
XRAY,0.57
AOS,4.24
UHS,16.46
NRG,1.0
HII,0.03
RHI,0.8
BBWI,1.19
WRK,0.59
BEN,0.65
BXP,0.53
AAP,1.13
IVZ,0.15
FRT,0.55
VFC,0.03
SEE,1.47
WHR,3.8
NWSA,10.43
HAS,0.05
AIZ,9.15
GNRC,0.0
OGN,0.29
DXC,0.69
CMA,0.25
NCLH,0.0
ALK,0.15
MHK,2.89
RL,2.5
DVA,0.78
NWL,0.3
ZION,0.14
FOX,0.5
LNC,0.11
FRC,0.05
DISH,0.02
NWS,0.38
